dataset,method,seed,run_tag,result_group,ablation_family,avg_accuracy,forgetting,backward_transfer,forward_transfer
permuted_mnist,agem_distill,42,nodistill,ablations,interaction,36.659,66.5,-66.5,0.9389
permuted_mnist,agem_distill,123,nodistill,ablations,interaction,36.73,66.3922,-66.3922,2.2489
permuted_mnist,agem_distill,456,nodistill,ablations,interaction,36.589,66.3467,-66.3467,1.1767
permuted_mnist,der,42,nodistill,ablations,interaction,31.166,72.7556,-72.7556,1.1322
permuted_mnist,der,123,nodistill,ablations,interaction,32.445,71.4267,-71.4267,0.8278
permuted_mnist,der,456,nodistill,ablations,interaction,30.367,73.5156,-73.5156,0.5433
permuted_mnist,er_ewc,42,noewc,ablations,interaction,54.627,46.7689,-46.7689,0.73
permuted_mnist,er_ewc,123,noewc,ablations,interaction,56.901,43.8678,-43.8678,0.7656
permuted_mnist,er_ewc,456,noewc,ablations,interaction,55.815,45.3689,-45.3689,1.0389
permuted_mnist,icarl,42,nonmc,ablations,interaction,45.541,57.0378,-57.0378,1.4633
permuted_mnist,icarl,123,nonmc,ablations,interaction,44.729,57.8778,-57.8778,1.3322
permuted_mnist,icarl,456,nonmc,ablations,interaction,43.143,59.55,-59.4644,1.3178
permuted_mnist,si_der,42,nosi,ablations,interaction,69.757,30.5256,-30.5256,1.1444
permuted_mnist,si_der,123,nosi,ablations,interaction,71.217,29.0222,-29.0222,1.6578
permuted_mnist,si_der,456,nosi,ablations,interaction,69.675,30.7878,-30.7878,0.7033
permuted_mnist,xder,42,norevision,ablations,interaction,71.739,28.2389,-28.2389,0.78
permuted_mnist,xder,123,norevision,ablations,interaction,71.54,28.4722,-28.4722,1.3589
permuted_mnist,xder,456,norevision,ablations,interaction,72.188,27.9744,-27.9744,-0.3344
permuted_mnist,agem_distill,42,resumecheck,ablations,robustness,65.485,33.9333,-33.9333,1.2922
permuted_mnist,agem_distill,123,resumecheck,ablations,robustness,63.37,35.8522,-33.4756,2.3244
permuted_mnist,agem_distill,456,resumecheck,ablations,robustness,62.649,36.8267,-36.81,2.69
permuted_mnist,der,42,ntasks10,ablations,tasklen,69.757,30.5256,-30.5256,1.1444
permuted_mnist,der,123,ntasks10,ablations,tasklen,71.217,29.0222,-29.0222,1.6578
permuted_mnist,der,456,ntasks10,ablations,tasklen,69.675,30.7878,-30.7878,0.7033
permuted_mnist,der,789,ntasks10,ablations,tasklen,71.02,29.1367,-29.1367,1.5633
permuted_mnist,der,1024,ntasks10,ablations,tasklen,73.144,26.7511,-26.7511,0.5267
permuted_mnist,der,42,ntasks5,ablations,tasklen,85.836,14.13,-14.13,1.13
permuted_mnist,der,123,ntasks5,ablations,tasklen,87.662,11.9425,-11.9425,2.735
permuted_mnist,der,456,ntasks5,ablations,tasklen,88.232,11.3275,-11.3275,0.55
permuted_mnist,der,789,ntasks5,ablations,tasklen,84.646,15.605,-15.605,1.7925
permuted_mnist,der,1024,ntasks5,ablations,tasklen,89.15,10.095,-10.095,0.35
permuted_mnist,si_der,42,ntasks10,ablations,tasklen,70.746,29.3778,-29.3778,1.1433
permuted_mnist,si_der,123,ntasks10,ablations,tasklen,72.82,27.1589,-27.1589,1.5
permuted_mnist,si_der,456,ntasks10,ablations,tasklen,70.309,29.9544,-29.9544,0.5522
permuted_mnist,si_der,789,ntasks10,ablations,tasklen,68.646,31.6756,-31.6756,1.5244
permuted_mnist,si_der,1024,ntasks10,ablations,tasklen,71.808,28.1544,-28.1544,0.2444
permuted_mnist,si_der,42,ntasks5,ablations,tasklen,85.672,14.295,-14.295,-0.1425
permuted_mnist,si_der,123,ntasks5,ablations,tasklen,86.898,12.8025,-12.8025,2.43
permuted_mnist,si_der,456,ntasks5,ablations,tasklen,88.666,10.595,-10.595,0.25
permuted_mnist,si_der,789,ntasks5,ablations,tasklen,83.006,17.5475,-17.5475,2.47
permuted_mnist,si_der,1024,ntasks5,ablations,tasklen,88.812,10.4575,-10.4575,-0.195
split_cifar10,agem_distill,42,buf100,ablations,buffer,17.09,77.625,-77.625,-16.0042
split_cifar10,agem_distill,123,buf100,ablations,buffer,16.6,78.0875,-78.0875,-15.9917
split_cifar10,agem_distill,456,buf100,ablations,buffer,17.21,81.475,-81.475,-14.7292
split_cifar10,agem_distill,789,buf100,ablations,buffer,16.84,78.6375,-78.6375,-14.8167
split_cifar10,agem_distill,1024,buf100,ablations,buffer,17.2,81.375,-81.375,-15.7792
split_cifar10,agem_distill,42,buf200,ablations,buffer,17.17,77.2125,-77.2125,-16.0042
split_cifar10,agem_distill,123,buf200,ablations,buffer,16.37,80.475,-80.475,-15.9917
split_cifar10,agem_distill,456,buf200,ablations,buffer,17.43,81.6,-81.6,-14.7292
split_cifar10,agem_distill,789,buf200,ablations,buffer,16.66,79.7625,-79.7625,-14.8167
split_cifar10,agem_distill,1024,buf200,ablations,buffer,17.28,81.2,-81.2,-15.7792
split_cifar10,agem_distill,42,buf500,ablations,buffer,15.38,76.25,-76.25,-16.0042
split_cifar10,agem_distill,123,buf500,ablations,buffer,17.03,79.8,-79.8,-15.9917
split_cifar10,agem_distill,456,buf500,ablations,buffer,15.1,80.5375,-80.5375,-14.7292
split_cifar10,agem_distill,789,buf500,ablations,buffer,17.32,79.825,-79.825,-14.8167
split_cifar10,agem_distill,1024,buf500,ablations,buffer,17.44,79.8125,-79.8125,-15.7792
split_cifar10,der,42,buf100,ablations,buffer,17.0,79.95,-79.95,-15.9292
split_cifar10,der,123,buf100,ablations,buffer,16.7,82.3625,-82.3625,-16.0417
split_cifar10,der,456,buf100,ablations,buffer,16.87,79.775,-79.775,-13.2167
split_cifar10,der,789,buf100,ablations,buffer,16.93,81.15,-81.15,-11.4417
split_cifar10,der,1024,buf100,ablations,buffer,17.32,82.5375,-82.5375,-10.1042
split_cifar10,der,42,buf200,ablations,buffer,15.85,78.5375,-78.5375,-16.0417
split_cifar10,der,123,buf200,ablations,buffer,17.11,79.4875,-79.4875,-16.0417
split_cifar10,der,456,buf200,ablations,buffer,16.31,81.9125,-81.9125,-9.2167
split_cifar10,der,789,buf200,ablations,buffer,16.88,80.2,-80.2,-11.7667
split_cifar10,der,1024,buf200,ablations,buffer,16.97,81.1875,-81.1875,-12.6167
split_cifar10,der,42,buf500,ablations,buffer,15.07,77.1875,-77.1875,-16.0417
split_cifar10,der,123,buf500,ablations,buffer,14.52,78.3125,-78.3125,-16.0417
split_cifar10,der,456,buf500,ablations,buffer,16.49,81.025,-81.025,-12.5417
split_cifar10,der,789,buf500,ablations,buffer,16.63,78.1625,-78.1625,-9.9167
split_cifar10,der,1024,buf500,ablations,buffer,17.26,81.7875,-81.7875,-13.0417
split_cifar10,er_ewc,42,buf100,ablations,buffer,21.45,76.45,-76.45,-15.8542
split_cifar10,er_ewc,123,buf100,ablations,buffer,23.63,76.05,-76.05,-15.9292
split_cifar10,er_ewc,456,buf100,ablations,buffer,20.2,74.8625,-74.8625,-15.4542
split_cifar10,er_ewc,789,buf100,ablations,buffer,20.68,79.7375,-79.7375,-13.3167
split_cifar10,er_ewc,1024,buf100,ablations,buffer,20.59,79.0375,-79.0375,-15.6417
split_cifar10,er_ewc,42,buf200,ablations,buffer,22.94,73.0625,-73.0625,-15.5167
split_cifar10,er_ewc,123,buf200,ablations,buffer,23.6,73.325,-73.325,-15.5792
split_cifar10,er_ewc,456,buf200,ablations,buffer,24.67,71.6375,-71.6375,-15.7417
split_cifar10,er_ewc,789,buf200,ablations,buffer,22.03,76.975,-76.975,-14.2042
split_cifar10,er_ewc,1024,buf200,ablations,buffer,24.37,70.8125,-70.8125,-15.4792
split_cifar10,er_ewc,42,buf500,ablations,buffer,29.88,60.8125,-60.8125,-15.8667
split_cifar10,er_ewc,123,buf500,ablations,buffer,27.73,67.15,-67.15,-16.0292
split_cifar10,er_ewc,456,buf500,ablations,buffer,35.48,46.7625,-46.7625,-14.1042
split_cifar10,er_ewc,789,buf500,ablations,buffer,36.83,52.2625,-52.2625,-15.1417
split_cifar10,er_ewc,1024,buf500,ablations,buffer,31.22,62.275,-62.275,-14.8417
split_cifar10,icarl,42,buf100,ablations,buffer,23.38,34.4875,-32.0375,-16.0417
split_cifar10,icarl,123,buf100,ablations,buffer,26.4,36.15,-35.925,-16.0417
split_cifar10,icarl,456,buf100,ablations,buffer,25.47,45.45,-45.45,-16.0417
split_cifar10,icarl,789,buf100,ablations,buffer,28.02,38.775,-38.775,-16.0417
split_cifar10,icarl,1024,buf100,ablations,buffer,27.44,42.6,-42.6,-16.0417
split_cifar10,icarl,42,buf200,ablations,buffer,27.94,35.8,-35.1625,-16.0417
split_cifar10,icarl,123,buf200,ablations,buffer,28.81,27.675,-27.1625,-16.0417
split_cifar10,icarl,456,buf200,ablations,buffer,23.25,43.4375,-43.4375,-16.0417
split_cifar10,icarl,789,buf200,ablations,buffer,26.53,36.1375,-36.1375,-16.0417
split_cifar10,icarl,1024,buf200,ablations,buffer,27.09,36.3,-36.3,-16.0417
split_cifar10,icarl,42,buf500,ablations,buffer,26.67,39.5375,-39.5375,-16.0417
split_cifar10,icarl,123,buf500,ablations,buffer,25.5,38.9625,-38.9625,-16.0417
split_cifar10,icarl,456,buf500,ablations,buffer,26.58,44.175,-44.175,-16.0417
split_cifar10,icarl,789,buf500,ablations,buffer,29.33,38.05,-38.05,-16.0417
split_cifar10,icarl,1024,buf500,ablations,buffer,28.16,38.05,-38.05,-16.0417
split_cifar10,si_der,42,buf100,ablations,buffer,16.78,79.875,-79.875,-15.9292
split_cifar10,si_der,123,buf100,ablations,buffer,17.68,83.2125,-83.2125,-16.0417
split_cifar10,si_der,456,buf100,ablations,buffer,16.48,79.775,-79.775,-13.2167
split_cifar10,si_der,789,buf100,ablations,buffer,16.65,80.9125,-80.9125,-11.4417
split_cifar10,si_der,1024,buf100,ablations,buffer,16.74,82.5875,-82.5875,-10.1042
split_cifar10,si_der,42,buf200,ablations,buffer,16.34,78.1375,-78.1375,-16.0417
split_cifar10,si_der,123,buf200,ablations,buffer,16.52,79.35,-79.35,-16.0417
split_cifar10,si_der,456,buf200,ablations,buffer,17.41,80.7625,-80.7625,-9.2167
split_cifar10,si_der,789,buf200,ablations,buffer,17.41,80.85,-80.85,-11.7667
split_cifar10,si_der,1024,buf200,ablations,buffer,17.34,81.5125,-81.5125,-12.6167
split_cifar10,si_der,42,buf500,ablations,buffer,15.2,76.3,-76.3,-16.0417
split_cifar10,si_der,123,buf500,ablations,buffer,15.34,78.275,-78.275,-16.0417
split_cifar10,si_der,456,buf500,ablations,buffer,17.13,80.6875,-80.6875,-12.5417
split_cifar10,si_der,789,buf500,ablations,buffer,16.74,79.475,-79.475,-9.9167
split_cifar10,si_der,1024,buf500,ablations,buffer,16.89,81.05,-81.05,-13.0417
split_cifar10,xder,42,buf100,ablations,buffer,18.0,77.1,-77.1,-15.6292
split_cifar10,xder,123,buf100,ablations,buffer,18.3,78.6,-78.6,-16.0417
split_cifar10,xder,456,buf100,ablations,buffer,18.61,77.1125,-77.1125,-14.1292
split_cifar10,xder,789,buf100,ablations,buffer,18.1,79.8375,-79.8375,-13.1167
split_cifar10,xder,1024,buf100,ablations,buffer,18.24,79.7875,-79.7875,-12.7667
split_cifar10,xder,42,buf200,ablations,buffer,23.47,68.45,-68.45,-16.0417
split_cifar10,xder,123,buf200,ablations,buffer,20.94,72.625,-72.625,-16.0417
split_cifar10,xder,456,buf200,ablations,buffer,20.23,76.4625,-76.4625,-11.8167
split_cifar10,xder,789,buf200,ablations,buffer,20.4,78.7375,-78.7375,-13.3917
split_cifar10,xder,1024,buf200,ablations,buffer,21.04,74.6625,-74.6625,-13.4917
split_cifar10,xder,42,buf500,ablations,buffer,19.28,75.5625,-75.5625,-16.0417
split_cifar10,xder,123,buf500,ablations,buffer,19.21,74.3875,-74.3875,-16.0417
split_cifar10,xder,456,buf500,ablations,buffer,19.09,76.2,-76.2,-12.8792
split_cifar10,xder,789,buf500,ablations,buffer,22.25,75.675,-75.675,-12.0667
split_cifar10,xder,1024,buf500,ablations,buffer,19.49,77.175,-77.175,-12.8667
split_cifar10,agem_distill,42,nodistill,ablations,interaction,16.07,76.125,-76.125,-16.0042
split_cifar10,agem_distill,123,nodistill,ablations,interaction,17.25,80.3125,-80.3125,-15.9917
split_cifar10,agem_distill,456,nodistill,ablations,interaction,16.2,81.875,-81.875,-14.7292
split_cifar10,der,42,nodistill,ablations,interaction,15.48,78.8125,-78.8125,-15.9167
split_cifar10,der,123,nodistill,ablations,interaction,16.95,81.55,-81.55,-16.0292
split_cifar10,der,456,nodistill,ablations,interaction,15.11,81.8375,-81.8375,-14.6667
split_cifar10,er_ewc,42,noewc,ablations,interaction,23.21,72.375,-72.375,-15.4667
split_cifar10,er_ewc,123,noewc,ablations,interaction,25.56,71.175,-71.175,-15.5792
split_cifar10,er_ewc,456,noewc,ablations,interaction,23.93,70.2375,-70.2375,-15.7417
split_cifar10,icarl,42,nonmc,ablations,interaction,16.18,75.3,-75.3,-16.0042
split_cifar10,icarl,123,nonmc,ablations,interaction,16.91,80.025,-80.025,-15.9917
split_cifar10,icarl,456,nonmc,ablations,interaction,16.51,80.9875,-80.9875,-14.7292
split_cifar10,si_der,42,nosi,ablations,interaction,15.85,78.5375,-78.5375,-16.0417
split_cifar10,si_der,123,nosi,ablations,interaction,17.11,79.4875,-79.4875,-16.0417
split_cifar10,si_der,456,nosi,ablations,interaction,16.31,81.9125,-81.9125,-9.2167
split_cifar10,xder,42,norevision,ablations,interaction,16.6,78.325,-78.325,-16.0417
split_cifar10,xder,123,norevision,ablations,interaction,16.51,79.625,-79.625,-16.0417
split_cifar10,xder,456,norevision,ablations,interaction,16.08,81.0875,-81.0875,-9.2167
split_cifar10,er_ewc,42,lambda1,ablations,lambda,22.68,73.825,-73.825,-15.5167
split_cifar10,er_ewc,123,lambda1,ablations,lambda,23.12,74.2375,-74.2375,-15.5792
split_cifar10,er_ewc,456,lambda1,ablations,lambda,22.45,74.6125,-74.6125,-15.7417
split_cifar10,er_ewc,789,lambda1,ablations,lambda,27.58,69.3625,-69.3625,-14.1792
split_cifar10,er_ewc,1024,lambda1,ablations,lambda,21.9,76.0,-76.0,-15.4792
split_cifar10,er_ewc,42,lambda10,ablations,lambda,22.93,73.575,-73.575,-15.5167
split_cifar10,er_ewc,123,lambda10,ablations,lambda,27.22,68.75,-68.75,-15.5792
split_cifar10,er_ewc,456,lambda10,ablations,lambda,23.44,72.4375,-72.4375,-15.7417
split_cifar10,er_ewc,789,lambda10,ablations,lambda,21.86,75.8125,-75.8125,-14.2042
split_cifar10,er_ewc,1024,lambda10,ablations,lambda,19.03,78.575,-78.575,-15.4792
split_cifar10,er_ewc,42,lambda100,ablations,lambda,22.94,73.0625,-73.0625,-15.5167
split_cifar10,er_ewc,123,lambda100,ablations,lambda,23.6,73.325,-73.325,-15.5792
split_cifar10,er_ewc,456,lambda100,ablations,lambda,24.67,71.6375,-71.6375,-15.7417
split_cifar10,er_ewc,789,lambda100,ablations,lambda,22.03,76.975,-76.975,-14.2042
split_cifar10,er_ewc,1024,lambda100,ablations,lambda,24.37,70.8125,-70.8125,-15.4792
split_cifar10,er_ewc,42,lambda1000,ablations,lambda,26.13,68.95,-68.95,-15.5167
split_cifar10,er_ewc,123,lambda1000,ablations,lambda,29.22,67.625,-67.625,-15.5792
split_cifar10,er_ewc,456,lambda1000,ablations,lambda,24.05,72.475,-72.475,-15.7417
split_cifar10,er_ewc,789,lambda1000,ablations,lambda,26.56,72.2625,-72.2625,-14.2042
split_cifar10,er_ewc,1024,lambda1000,ablations,lambda,21.95,74.2,-74.2,-15.4792
split_cifar10,ewc,42,lambda1,ablations,lambda,17.02,76.775,-76.775,-16.0042
split_cifar10,ewc,123,lambda1,ablations,lambda,16.47,80.0125,-80.0125,-15.9917
split_cifar10,ewc,456,lambda1,ablations,lambda,15.7,81.45,-81.45,-14.7292
split_cifar10,ewc,789,lambda1,ablations,lambda,16.0,78.4375,-78.4375,-14.8167
split_cifar10,ewc,1024,lambda1,ablations,lambda,16.33,81.4125,-81.4125,-15.7792
split_cifar10,ewc,42,lambda10,ablations,lambda,16.86,79.125,-79.125,-16.0042
split_cifar10,ewc,123,lambda10,ablations,lambda,16.65,81.3375,-81.3375,-15.9917
split_cifar10,ewc,456,lambda10,ablations,lambda,16.73,81.175,-81.175,-14.7292
split_cifar10,ewc,789,lambda10,ablations,lambda,15.79,78.85,-78.85,-14.8167
split_cifar10,ewc,1024,lambda10,ablations,lambda,15.93,79.0125,-79.0125,-15.7792
split_cifar10,ewc,42,lambda100,ablations,lambda,16.59,78.475,-78.475,-16.0042
split_cifar10,ewc,123,lambda100,ablations,lambda,16.37,75.15,-75.15,-15.9917
split_cifar10,ewc,456,lambda100,ablations,lambda,17.15,80.9625,-80.9625,-14.7292
split_cifar10,ewc,789,lambda100,ablations,lambda,17.2,79.2,-79.2,-14.8167
split_cifar10,ewc,1024,lambda100,ablations,lambda,17.16,81.3375,-81.3375,-15.7792
split_cifar10,ewc,42,lambda1000,ablations,lambda,16.63,78.45,-78.45,-16.0042
split_cifar10,ewc,123,lambda1000,ablations,lambda,14.15,79.425,-79.425,-15.9917
split_cifar10,ewc,456,lambda1000,ablations,lambda,16.66,82.45,-82.45,-14.7292
split_cifar10,ewc,789,lambda1000,ablations,lambda,15.58,77.7125,-77.7125,-14.8167
split_cifar10,ewc,1024,lambda1000,ablations,lambda,15.93,77.85,-77.85,-15.7792
split_cifar10,icarl,42,resumecheck,ablations,robustness,26.89,39.9625,-39.9625,-16.0417
split_cifar10,icarl,123,resumecheck,ablations,robustness,25.2,33.6375,-33.6375,-16.0417
split_cifar10,icarl,456,resumecheck,ablations,robustness,26.78,37.8375,-37.8375,-16.0417
split_cifar10,joint_training,42,resumecheck,ablations,robustness,66.28,9.85,-6.625,-15.7667
split_cifar10,joint_training,123,resumecheck,ablations,robustness,65.84,8.2875,-2.4875,-15.7792
split_cifar10,joint_training,456,resumecheck,ablations,robustness,65.19,7.5625,-6.2375,-15.2667
